run_position,level,snr_db,clip,reference,hypothesis,wer,confidence,audio_ms,server_ms,rtf,error
56,clean,,cmd_delivery_status,đơn a123 thế nào,đám đèn rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,28.0,0.9366,4238.0,3448,0.8136,
57,clean,,cmd_media_pause,dừng nhạc,rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,56.0,0.9561,2210.0,3789,1.7145,
58,quiet,20.0,cmd_temp_24,đặt nhiệt độ 24 độ,điện tỉnh tối tối để phong phụ tối dưới phụ tôi từ tắt đi tị và học tối tối tra phụ tối quan tới tối lượng kị về tôi sẽ ngày càng quan tới khớp tới bốn lỡ và tối dưới đối lượng ô tối tối bàn dựa.,9.6,0.1987,6448.0,2608,0.4045,
59,clean,,cmd_vol_up,tăng âm lượng,rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,37.3333,0.9657,2548.0,4188,1.6436,
60,highway,5.0,cmd_fan_3,đặt quạt mức 3,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,28.0,0.9514,2990.0,3882,1.2983,
61,clean,,cmd_fan_5,quạt gió mức 5,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,28.0,0.9502,3120.0,3324,1.0654,
62,clean,,cmd_fan_3,đặt quạt mức 3,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,28.0,0.9427,2990.0,4035,1.3495,
63,quiet,20.0,cmd_vol_up,tăng âm lượng,rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ rỉ r,37.3333,0.9663,2548.0,4748,1.8634,
64,cabin,10.0,cmd_door_lock,khóa cửa lại,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,37.3333,0.9507,2860.0,4734,1.6552,
65,clean,,cmd_temp_22,hạ điều hòa xuống 22 độ,khăn m 기자 âu tra t đang t chín rào vàạn sin  multiply sẽ  ăn rèn rề hỗng t cho rào và gia gia chi h độc hình tế ngày hỗn bồi bài độ t cho rào rào tế sẽ tra phổi t được gây t để tang bào và hai t để chúng ra nhuá tế tạo và dụ sẽ tỏ hà bàn bàn.,10.6667,0.092,4420.0,3700,0.8371,
66,cabin,10.0,cmd_media_next,chuyển bài,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,56.0,0.9482,2314.0,3055,1.3202,
67,cabin,10.0,cmd_out_of_scope,đặt bàn ăn tối lúc bảy giờ,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,16.0,0.9536,4134.0,4270,1.0329,
68,clean,,cmd_door_lock,khóa cửa lại,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,37.3333,0.9522,2860.0,3893,1.3612,
69,quiet,20.0,cmd_temp_noslot,giảm nhiệt độ,đám đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đ,37.3333,0.946,2704.0,4816,1.7811,
70,clean,,cmd_temp_26,tăng nhiệt độ lên 26 độ,phạm giảm t hàng ngày.,1.0,0.2126,4706.0,2693,0.5722,
71,cabin,10.0,cmd_media_play,phát nhạc,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,56.0,0.9537,2314.0,4507,1.9477,
72,clean,,cmd_vol_down,giảm âm lượng,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,37.3333,0.9507,2938.0,4238,1.4425,
73,clean,,cmd_fan_0,tắt quạt gió về mức 0,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,18.6667,0.9644,3484.0,4287,1.2305,
74,cabin,10.0,cmd_temp_noslot,giảm nhiệt độ,đám đưa ra cho đỉnh sạt đỏ mua hành gia đồng điểm pi tự nhiên phơi cách mi điểm dị t để mỗi cách mi từ mình ô bày tự nhiên phẩm ti xám hành tự nhiên bao cánh rơi đèn mua đỗ hỗ t điểm hỗn bị điện gia vị tay nơi ô một gia nghị sẽ giả đã t để làm tiêu đều để t để dựa hóa để làm cho ti chuyển đề để đi mua để ti diện muỗi cách để dự nhiên mỗi đời để theo chăm nhìn để làm ta đã dựa cị mu no để tiện muỗi đứa để dựa địp để dựa đựa đã để dạ dỗ để dậy để cho để dậy để cho da cho để theo d,42.6667,0.1126,2704.0,4609,1.7045,
75,highway,5.0,cmd_temp_24,đặt nhiệt độ 24 độ,đối mối bị chủ tự nhiên làm sao hình tự nhiên.,2.2,0.2193,6448.0,2612,0.4051,
76,highway,5.0,cmd_media_play,phát nhạc,đám đuạn đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám,55.5,0.9479,2314.0,4062,1.7554,
77,clean,,cmd_temp_wake,viva ơi đặt nhiệt độ 25 độ,dựa di hành t bỏ bi học sinh tối bốn rồi di hành động.,2.0,0.1277,6136.0,3307,0.539,
78,cabin,10.0,cmd_fan_0,tắt quạt gió về mức 0,đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đám đ,18.6667,0.9629,3484.0,4678,1.3427,
79,cabin,10.0,cmd_media_pause,dừng nhạc,đàn on gây may rơi sinh r cal cành răm hành tự nhiên.,6.5,0.0945,2210.0,3663,1.6575,
80,highway,5.0,cmd_temp_noslot,giảm nhiệt độ,đám đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đón đ,37.3333,0.9373,2704.0,4052,1.4985,
